la_code,la_name,2G premises (outdoor): no reliable signal by LA (%),2G premises (outdoor): signal from 1 operator by LA (%),2G premises (outdoor): signal from 2 operators by LA (%),2G premises (outdoor): signal from all operators by LA (%),2G premises (indoor): no reliable signal by LA (%),2G premises (indoor): signal from 1 operator by LA (%),2G premises (indoor): signal from 2 operators by LA (%),2G premises (indoor): signal from all operators by LA (%),2G geographic (outdoor): no reliable signal by LA (%),2G geographic (outdoor): signal from 1 operator by LA (%),2G geographic (outdoor): signal from 2 operators by LA (%),2G geographic (outdoor): signal from all operators by LA (%),2G geographic (indoor): no reliable signal by LA (%),2G geographic (indoor): signal from 1 operator by LA (%),2G geographic (indoor): signal from 2 operators by LA (%),2G geographic (indoor): signal from all operators by LA (%),2G roads: no reliable signal by LA (%),2G roads: signal from 1 operator by LA (%),2G roads: signal from 2 operators by LA (%),2G roads: signal from all operators by LA (%),2G motorways: no reliable signal by LA (%),2G motorways: signal from 1 operator by LA (%),2G motorways: signal from 2 operators by LA (%),2G motorways: signal from all operators by LA (%),3G premises (outdoor): no reliable signal by LA (%),3G premises (outdoor): signal from 1 operator by LA (%),3G premises (outdoor): signal from 2 operators by LA (%),3G premises (outdoor): signal from 3 operators by LA (%),3G premises (outdoor): signal from all operators by LA (%),3G premises (indoor): no reliable signal by LA (%),3G premises (indoor): signal from 1 operator by LA (%),3G premises (indoor): signal from 2 operators by LA (%),3G premises (indoor): signal from 3 operators by LA (%),3G premises (indoor): signal from all operators by LA (%),3G geographic (outdoor): no reliable signal by LA (%),3G geographic (outdoor): signal from 1 operator by LA (%),3G geographic (outdoor): signal from 2 operators by LA (%),3G geographic (outdoor): signal from 3 operators by LA (%),3G geographic (outdoor): signal from all operators by LA (%),3G geographic (indoor): no reliable signal by LA (%),3G geographic (indoor): signal from 1 operator by LA (%),3G geographic (indoor): signal from 2 operators by LA (%),3G geographic (indoor): signal from 3 operators by LA (%),3G geographic (indoor): signal from all operators by LA (%),3G roads: no reliable signal by LA (%),3G roads: signal from 1 operator by LA (%),3G roads: signal from 2 operators by LA (%),3G roads: signal from 3 operators by LA (%),3G roads: signal from all operators by LA (%),3G motorways: no reliable signal by LA (%),3G motorways: signal from 1 operator by LA (%),3G motorways: signal from 2 operators by LA (%),3G motorways: signal from 3 operators by LA (%),3G motorways: signal from all operators by LA (%),4G premises (outdoor): no reliable signal by LA (%),4G premises (outdoor): signal from 1 operator by LA (%),4G premises (outdoor): signal from 2 operators by LA (%),4G premises (outdoor): signal from 3 operators by LA (%),4G premises (outdoor): signal from all operators by LA (%),4G premises (indoor): no reliable signal by LA (%),4G premises (indoor): signal from 1 operator by LA (%),4G premises (indoor): signal from 2 operators by LA (%),4G premises (indoor): signal from 3 operators by LA (%),4G premises (indoor): signal from all operators by LA (%),4G geographic (outdoor): no reliable signal by LA (%),4G geographic (outdoor): signal from 1 operator by LA (%),4G geographic (outdoor): signal from 2 operators by LA (%),4G geographic (outdoor): signal from 3 operators by LA (%),4G geographic (outdoor): signal from all operators by LA (%),4G geographic (indoor): no reliable signal by LA (%),4G geographic (indoor): signal from 1 operator by LA (%),4G geographic (indoor): signal from 2 operators by LA (%),4G geographic (indoor): signal from 3 operators by LA (%),4G geographic (indoor): signal from all operators by LA (%),4G roads: no reliable signal by LA (%),4G roads: signal from 1 operator by LA (%),4G roads: signal from 2 operators by LA (%),4G roads: signal from 3 operators by LA (%),4G roads: signal from all operators by LA (%),4G motorways: no reliable signal by LA (%),4G motorways: signal from 1 operator by LA (%),4G motorways: signal from 2 operators by LA (%),4G motorways: signal from 3 operators by LA (%),4G motorways: signal from all operators by LA (%)
00-QA,Aberdeen City,0.00%,0.01%,0.36%,99.62%,0.04%,0.56%,17.43%,81.97%,0.22%,1.64%,7.38%,90.75%,5.98%,10.92%,23.65%,59.45%,5.98%,10.92%,23.65%,59.45%,,,,,0.00%,0.00%,0.54%,1.65%,97.82%,0.02%,0.07%,1.64%,9.65%,88.62%,0.02%,0.18%,1.84%,7.25%,90.71%,2.23%,4.13%,10.00%,21.15%,62.48%,0.00%,0.56%,3.98%,13.69%,81.77%,,,,,,0.00%,0.69%,1.07%,0.92%,97.32%,0.03%,2.97%,0.49%,2.98%,93.53%,0.13%,1.62%,3.36%,10.50%,84.39%,2.95%,10.12%,7.30%,13.80%,65.83%,0.21%,5.66%,3.56%,6.91%,83.66%,,,,,
00-QB,Aberdeenshire,1.24%,5.17%,14.35%,79.24%,11.53%,18.92%,32.22%,37.32%,16.01%,13.74%,22.61%,47.64%,40.66%,22.90%,21.40%,15.04%,40.66%,22.90%,21.40%,15.04%,,,,,5.03%,3.04%,10.35%,16.51%,65.07%,11.74%,11.10%,22.86%,13.27%,41.02%,23.45%,10.20%,12.13%,17.35%,36.87%,38.65%,14.39%,20.23%,14.01%,12.71%,22.67%,14.54%,25.98%,16.55%,20.25%,,,,,,14.09%,13.57%,12.99%,37.27%,22.08%,28.91%,17.51%,11.14%,28.37%,14.07%,36.51%,18.87%,17.04%,20.83%,6.75%,55.96%,21.33%,10.74%,10.22%,1.75%,44.09%,24.32%,12.78%,15.53%,3.27%,,,,,
00-QC,Angus,0.84%,1.43%,7.40%,90.33%,6.55%,8.47%,32.64%,52.34%,31.81%,12.28%,13.15%,42.77%,54.93%,15.26%,13.98%,15.83%,54.93%,15.26%,13.98%,15.83%,,,,,0.69%,0.48%,5.14%,7.88%,85.81%,3.21%,4.94%,13.53%,16.71%,61.61%,24.09%,9.99%,14.33%,15.58%,36.00%,41.47%,13.37%,21.57%,12.31%,11.28%,12.57%,11.07%,29.97%,19.94%,26.45%,,,,,,1.36%,3.46%,11.74%,30.99%,52.44%,5.85%,18.69%,10.26%,30.31%,34.90%,36.39%,8.43%,14.77%,15.98%,24.44%,47.89%,15.52%,19.00%,8.90%,8.68%,17.57%,20.95%,29.53%,16.77%,15.18%,,,,,
95-TU,Antrim And Newtownabbey,0.01%,0.32%,4.69%,94.99%,2.15%,6.19%,22.00%,69.65%,0.21%,2.35%,8.71%,88.73%,10.51%,18.88%,26.31%,44.29%,10.51%,18.88%,26.31%,44.29%,0.00%,0.17%,22.65%,77.18%,0.00%,0.00%,0.25%,5.09%,94.66%,0.18%,1.16%,3.92%,14.89%,79.85%,0.00%,0.03%,1.26%,9.99%,88.72%,1.35%,3.70%,9.86%,25.30%,59.79%,1.86%,1.53%,5.66%,22.96%,67.99%,0.00%,0.00%,0.70%,16.03%,83.28%,0.01%,0.03%,0.27%,3.44%,96.26%,0.48%,0.98%,5.54%,12.39%,80.62%,0.04%,0.23%,0.74%,4.71%,94.27%,1.65%,4.91%,9.04%,18.02%,66.38%,2.52%,2.26%,4.16%,18.61%,72.45%,0.00%,0.00%,0.00%,4.36%,95.64%
00-QD,Argyll and Bute,6.06%,8.04%,16.37%,69.53%,17.94%,18.92%,25.71%,37.43%,39.91%,20.72%,22.40%,16.97%,73.21%,14.61%,8.00%,4.18%,73.21%,14.61%,8.00%,4.18%,,,,,16.59%,7.88%,29.07%,5.18%,41.27%,21.73%,11.68%,28.68%,8.91%,29.00%,63.09%,16.44%,12.66%,3.16%,4.66%,78.47%,10.36%,7.56%,1.77%,1.84%,64.25%,13.69%,14.16%,2.65%,5.26%,,,,,,41.84%,18.33%,5.65%,5.04%,29.14%,48.47%,19.89%,9.96%,13.37%,8.31%,87.14%,6.68%,3.18%,1.62%,1.38%,92.07%,4.95%,1.74%,0.59%,0.66%,87.13%,7.48%,2.46%,1.30%,1.64%,,,,,
95-OQN,Armagh Banbridge And Craigavon,0.51%,1.24%,14.07%,84.18%,7.83%,12.20%,41.32%,38.65%,2.26%,4.43%,15.56%,77.74%,18.36%,23.65%,29.57%,28.42%,18.36%,23.65%,29.57%,28.42%,0.32%,2.11%,31.33%,66.23%,0.02%,0.13%,1.28%,10.33%,88.24%,1.40%,3.20%,15.67%,27.71%,52.02%,0.11%,0.64%,3.61%,18.49%,77.15%,3.19%,6.70%,19.39%,36.19%,34.53%,2.27%,6.36%,20.64%,37.04%,33.69%,0.00%,0.00%,9.42%,44.97%,45.62%,0.01%,0.14%,1.30%,4.93%,93.62%,1.10%,3.35%,12.95%,35.95%,46.64%,0.05%,0.75%,2.62%,8.50%,88.09%,2.50%,7.19%,16.29%,31.26%,42.76%,1.66%,5.27%,17.48%,37.48%,38.11%,0.00%,0.00%,8.60%,30.52%,60.88%
00-CC,Barnsley District,0.01%,0.08%,0.70%,99.21%,0.26%,2.46%,16.95%,80.34%,0.97%,1.50%,5.23%,92.30%,7.05%,9.11%,20.13%,63.71%,7.05%,9.11%,20.13%,63.71%,0.00%,0.00%,7.37%,92.63%,0.00%,0.00%,0.39%,1.38%,98.23%,0.03%,0.22%,2.51%,7.34%,89.90%,0.12%,0.37%,1.26%,4.16%,94.10%,1.62%,2.90%,7.00%,13.80%,74.68%,1.00%,1.81%,7.28%,9.36%,80.55%,0.00%,0.00%,0.00%,3.23%,96.77%,0.11%,0.48%,0.53%,2.16%,96.73%,0.66%,1.88%,2.66%,6.05%,88.75%,0.99%,2.28%,2.89%,6.48%,87.35%,5.64%,5.42%,6.37%,14.73%,67.84%,5.31%,4.43%,3.97%,12.28%,74.01%,0.00%,0.00%,0.00%,3.23%,96.77%
00-HA,Bath and North East Somerset,0.19%,0.79%,6.15%,92.87%,2.31%,10.47%,28.10%,59.11%,0.33%,3.21%,13.04%,83.42%,5.84%,20.30%,32.21%,41.65%,5.84%,20.30%,32.21%,41.65%,,,,,0.01%,0.02%,0.92%,6.40%,92.65%,1.90%,3.13%,6.42%,16.74%,71.80%,0.14%,0.57%,2.90%,19.53%,76.86%,2.52%,6.59%,17.21%,32.67%,41.01%,0.79%,3.15%,12.12%,29.25%,54.70%,,,,,,0.04%,0.40%,7.25%,11.56%,80.75%,0.99%,5.18%,17.60%,20.98%,55.25%,0.20%,2.32%,22.27%,17.72%,57.49%,4.44%,11.34%,36.61%,15.02%,32.59%,3.29%,10.04%,30.77%,17.63%,38.27%,,,,,
00-KB,Bedford,0.02%,0.34%,4.48%,95.16%,1.84%,6.29%,26.30%,65.57%,0.09%,1.94%,11.18%,86.79%,8.80%,22.46%,29.01%,39.73%,8.80%,22.46%,29.01%,39.73%,,,,,0.00%,0.09%,0.39%,3.46%,96.06%,0.95%,1.68%,6.04%,13.55%,77.79%,0.00%,0.05%,0.75%,9.44%,89.75%,2.19%,6.55%,16.15%,33.99%,41.12%,1.73%,3.91%,7.59%,22.04%,64.73%,,,,,,0.09%,1.12%,1.54%,2.34%,94.91%,2.59%,2.42%,5.83%,12.38%,76.78%,0.05%,0.53%,2.61%,11.01%,85.81%,5.38%,14.33%,14.56%,19.66%,46.08%,2.19%,6.10%,6.50%,14.38%,70.83%,,,,,
95-Z,Belfast,0.00%,0.00%,0.26%,99.74%,0.06%,0.54%,13.03%,86.37%,0.00%,0.00%,0.66%,99.34%,0.40%,2.07%,16.16%,81.36%,0.40%,2.07%,16.16%,81.36%,0.00%,0.00%,5.04%,94.96%,0.00%,0.00%,0.01%,0.13%,99.86%,0.00%,0.00%,0.60%,4.50%,94.90%,0.00%,0.00%,0.02%,1.09%,98.90%,0.00%,0.02%,3.14%,7.39%,89.45%,0.00%,0.00%,0.60%,4.31%,95.09%,0.00%,0.00%,0.00%,1.16%,98.84%,0.00%,0.00%,0.00%,0.06%,99.94%,0.00%,0.00%,0.01%,1.16%,98.83%,0.00%,0.00%,0.00%,0.65%,99.35%,0.00%,0.00%,1.13%,3.34%,95.54%,0.00%,0.00%,0.00%,1.44%,98.56%,0.00%,0.00%,0.00%,0.00%,100.00%
